Género,Edad,Trabaja,Facultad,Horas al día en Cd. Universitaria,Jugo natural,Agua embotellada,Refresco,Café,Frappé,Smoothie,Licuado,Agua natural de fruta,Frecuencia de ir a un snack,Dinero gastado en el snack,Ha ido al snack de Filosofía ,Quiere snack 
Masculino,21,No,FCB,8,Me gusta mas o menos,Me gusta,Me gusta mas o menos,Me gusta poco,Me gusta poco,Me gusta poco,No me gusta,Me gusta poco,1 vez,mas de 75,Si,Si
Femenino,20,No,FCB,7,No me gusta,Me gusta mas o menos,Me gusta,No me gusta,Me gusta poco,Me gusta mas o menos,Me gusta poco,No me gusta,mas de 2 veces,de 50 a 75,Si,Si
Masculino,20,No,FCB,7,Me gusta mas o menos,Me gusta,Me gusta poco,Me gusta poco,Me gusta poco,Me gusta,Me gusta poco,Me gusta poco,mas de 2 veces,de 50 a 75,No,Si
Masculino,19,No,FCB,8,Me gusta poco,Me gusta,Me gusta mas o menos,No me gusta,No me gusta,No me gusta,No me gusta,Me gusta mas o menos,1 vez,de 25 a 50,No,Si
Femenino,20,Si,FCB,5,Me gusta mas o menos,Me gusta mas o menos,Me gusta poco,Me gusta mucho,No me gusta,No me gusta,Me gusta poco,Me gusta mas o menos,0 veces,de 25 a 50,No,Si
Femenino,22,No,Otra,5,Me gusta poco,Me gusta mas o menos,Me gusta,No me gusta,Me gusta poco,Me gusta poco,Me gusta mas o menos,Me gusta poco,0 veces,de 0 a 25,Si,Si
Masculino,20,No,Otra,7,Me gusta mas o menos,Me gusta,Me gusta poco,No me gusta,Me gusta poco,Me gusta mas o menos,No me gusta,No me gusta,mas de 2 veces,de 50 a 75,Si,Si
Masculino,20,No,FCB,8,Me gusta,Me gusta mucho,Me gusta poco,No me gusta,No me gusta,Me gusta mas o menos,No me gusta,Me gusta,1 vez,de 25 a 50,Si,Si
Masculino,20,No,FCB,9,Me gusta,Me gusta poco,Me gusta mucho,Me gusta mas o menos,Me gusta poco,Me gusta poco,Me gusta,Me gusta mucho,2 veces,de 50 a 75,No,Si
Femenino,21,No,FCB,7,Me gusta mas o menos,Me gusta,Me gusta mucho,Me gusta mucho,Me gusta mucho,Me gusta mas o menos,No me gusta,No me gusta,2 veces,de 50 a 75,Si,Si
Femenino,23,No,FCB,8,Me gusta poco,Me gusta mas o menos,Me gusta mas o menos,No me gusta,Me gusta poco,Me gusta,Me gusta poco,Me gusta poco,mas de 2 veces,de 25 a 50,Si,Si
Femenino,21,No,FCB,8,Me gusta poco,Me gusta mucho,Me gusta mas o menos,No me gusta,No me gusta,No me gusta,No me gusta,Me gusta poco,mas de 2 veces,de 25 a 50,Si,Si
Masculino,19,No,FCB,7,Me gusta poco,Me gusta,Me gusta mas o menos,No me gusta,Me gusta poco,Me gusta,No me gusta,No me gusta,mas de 2 veces,de 25 a 50,Si,Si
Femenino,20,Si,FCB,6,Me gusta mas o menos,Me gusta mucho,Me gusta mucho,No me gusta,Me gusta,Me gusta mas o menos,No me gusta,Me gusta mas o menos,1 vez,de 25 a 50,No,Si
Masculino,21,No,FCB,4,No me gusta,Me gusta mucho,Me gusta mas o menos,No me gusta,No me gusta,No me gusta,Me gusta mas o menos,No me gusta,1 vez,de 25 a 50,No,Si
